item.log.2020-04-24-09:24 Apr 2020 09:37:49,558 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 111349791 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:38:13,360 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 111802760 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:38:30,498 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 109444199 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:40:32,163 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 113101952 | jackpot | 1 | added gold to game | 200000 | 7000
item.log.2020-04-24-09:24 Apr 2020 09:45:28,490 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 116343031 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:53:41,804 INFO  [bitzero.server.controllers.ExtensionController-7] ItemLogger     - 119241120 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:56:05,857 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 118567132 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:00:56,302 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 112709873 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:01:50,509 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 118198802 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:03:46,325 INFO  [bitzero.server.controllers.ExtensionController-10] ItemLogger     - 119999290 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:04:52,021 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 108909067 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:08:24,032 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 120228774 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:13:09,780 INFO  [bitzero.server.controllers.ExtensionController-7] ItemLogger     - 118257633 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:13:35,061 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 115258319 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:15:00,837 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 111841472 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:16:50,575 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 102005486 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:17:12,959 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 120217527 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:17:28,150 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 120374702 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:19:31,466 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 112900603 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:24:08,773 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 118208355 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:26:28,820 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 117104992 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:26:37,261 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 111579799 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:28:34,183 INFO  [bitzero.server.controllers.ExtensionController-4] ItemLogger     - 113021464 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:30:56,922 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 118067458 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:32:22,649 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 112871896 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:38:27,628 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 114189217 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:41:53,792 INFO  [bitzero.server.controllers.ExtensionController-15] ItemLogger     - 119233792 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:45:14,478 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 120207080 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:46:38,407 INFO  [bitzero.server.controllers.ExtensionController-15] ItemLogger     - 119191644 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:48:43,341 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 116197408 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:50:03,308 INFO  [bitzero.server.controllers.ExtensionController-15] ItemLogger     - 119450987 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:52:15,466 INFO  [bitzero.server.controllers.ExtensionController-10] ItemLogger     - 116765216 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:55:35,991 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 116195080 | jackpot | 2 | added gold to game | 2000000 | 34000
item.log.2020-04-24-10:24 Apr 2020 10:57:05,240 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 116126174 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-10:24 Apr 2020 10:57:17,916 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 120287778 | jackpot | 4 | added gold to game | 200000000 | 143000
item.log.2020-04-24-10:24 Apr 2020 10:59:27,076 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 118096738 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:00:54,912 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 119094831 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:06:56,012 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 118729714 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:07:02,317 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 116299416 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:12:30,547 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 117998832 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:13:26,483 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 111849527 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:13:50,390 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 119436330 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:17:11,592 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 111662317 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:18:41,245 INFO  [bitzero.server.controllers.ExtensionController-1] ItemLogger     - 119540455 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:32:25,170 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 117959815 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:34:00,290 INFO  [bitzero.server.controllers.ExtensionController-7] ItemLogger     - 117652987 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:34:32,578 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 120319231 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:38:43,708 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 105036676 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:39:27,081 INFO  [bitzero.server.controllers.ExtensionController-7] ItemLogger     - 118826767 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:48:08,922 INFO  [bitzero.server.controllers.ExtensionController-11] ItemLogger     - 108867386 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:48:18,503 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 120162806 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:49:09,988 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 103355515 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-11:24 Apr 2020 11:50:06,451 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 120277996 | jackpot | 1 | added gold to game | 200000 | 0
